timestamp,ambience_lux,light_needed
23:35:48,2.29,yes
06:20:42,111.77,no
01:55:09,0.5,yes
06:23:36,118.31,no
09:10:11,25432.97,no
03:35:01,1.76,yes
19:16:53,81.2,no
15:28:26,8699.22,no
08:48:52,26749.18,no
15:45:47,8085.32,no
20:08:19,0.88,yes
04:35:34,1.39,yes
17:02:00,223.92,no
10:02:04,33403.23,no
11:23:16,15973.66,no
20:03:43,3.5,yes
12:33:42,14601.55,no
08:27:30,19691.65,no
10:57:34,21204.69,no
09:18:12,31278.58,no
07:28:56,10292.78,no
05:26:25,43.74,no
09:00:19,28160.83,no
10:00:15,30630.37,no
16:09:05,100.0,no
11:30:15,14715.69,no
01:38:06,1.01,yes
17:47:41,180.66,no
20:33:44,0.75,yes
03:35:52,0.54,yes
20:10:20,1.85,yes
17:10:13,190.65,no
09:55:46,26178.11,no
15:57:44,8883.27,no
10:31:50,38014.21,no
17:24:59,179.24,no
03:23:45,2.95,yes
09:28:44,29812.15,no
21:48:05,3.19,yes
01:21:11,2.51,yes
20:39:04,0.98,yes
05:54:01,51.53,no
02:28:43,1.83,yes
07:56:53,13023.25,no
20:25:38,1.35,yes
13:46:09,31616.18,no
04:29:56,2.61,yes
17:23:10,184.94,no
23:06:31,2.97,yes
10:13:25,34745.26,no
19:48:04,33.43,no
23:21:52,3.19,yes
04:33:10,2.23,yes
18:40:34,108.12,no
09:27:54,31458.8,no
20:43:40,2.0,yes
19:29:53,52.37,no
22:37:33,0.86,yes
06:40:24,130.11,no
12:04:06,16635.57,no
13:19:30,25816.09,no
18:37:35,125.22,no
11:05:30,24746.62,no
21:41:19,2.2,yes
04:18:55,2.69,yes
23:52:36,0.67,yes
01:38:48,0.82,yes
08:40:54,23353.08,no
18:53:46,114.54,no
13:16:46,22620.14,no
03:09:54,0.5,yes
16:46:20,100.0,no
18:14:22,139.02,no
08:40:34,23939.16,no
01:10:42,1.9,yes
20:19:41,0.6,yes
23:55:20,3.06,yes
03:34:28,2.05,yes
17:29:54,182.77,no
21:23:41,0.94,yes
05:13:59,41.1,no
20:03:22,3.03,yes
11:11:18,22746.58,no
18:36:57,124.29,no
03:45:18,2.99,yes
23:48:15,2.52,yes
